Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
58,Federico Bonazzoli\Federico-Bonazzoli,it ITA,FW,Torino,23,1997,6.3,6,4,1,3,2,2,12,16.7,10,117,34,29.1,8,52,57,3,0,0,3,2,8,4,0
59,Kevin Bonifazi\Kevin-Bonifazi,it ITA,DF,Udinese,24,1996,27.4,43,26,32,9,2,14,25,56,11,265,86,32.5,169,80,16,46,21,0,25,49,92,110,2
60,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,33,1987,22.5,24,15,12,11,1,7,17,41.2,10,147,53,36.1,73,66,8,37,17,0,20,18,42,84,0
61,Mehdi Bourabia\Mehdi-Bourabia,ma MAR,MF,Sassuolo,28,1991,5.9,8,6,2,5,1,4,9,44.4,5,94,31,33,30,49,15,18,6,0,12,8,16,11,0
62,Edoardo Bove\Edoardo-Bove,it ITA,MF,Roma,18,2002,0.1,0,0,0,0,0,0,0,,0,3,2,66.7,2,1,0,0,0,0,0,0,0,0,0
63,Jayden Braaf\Jayden-Braaf,nl NED,FW,Udinese,17,2002,1.3,0,0,0,0,0,0,1,0,1,15,2,13.3,2,5,8,2,0,0,2,1,1,0,0
64,Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,23,1997,32.6,65,41,51,12,2,21,40,52.5,19,361,134,37.1,224,115,22,60,20,0,40,88,153,199,0
65,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,27,1992,28.7,52,36,22,22,8,12,55,21.8,43,534,154,28.8,193,249,92,48,17,1,31,39,91,45,0
66,Gastón Brugman\Gaston-Brugman,uy URU,MF,Parma,27,1992,18,42,25,18,20,4,16,48,33.3,32,344,98,28.5,159,151,34,38,4,0,34,37,79,32,1
67,Juan Brunetta\Juan-Brunetta,ar ARG,FWMF,Parma,23,1997,5.3,3,1,1,2,0,0,6,0,6,68,18,26.5,6,33,29,4,0,0,4,1,4,2,0
68,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,42,1978,8,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
69,Alessandro Buongiorno\Alessandro-Buongiorno,it ITA,DF,Torino,21,1999,9.5,8,6,5,3,0,4,8,50,4,103,29,28.2,55,42,6,21,9,0,12,19,27,44,1
70,Maxime Busi\Maxime-Busi,be BEL,DF,Parma,20,1999,13.3,28,12,23,5,0,12,30,40,18,223,52,23.3,117,82,24,31,1,0,30,18,46,34,1
